,channel_id,channel_video_count,recommended_count,videos_as_source,ratio
1310,UC57sZH8K-B0yHjnNsfJHvMA,224,637,40,2.84375
1311,UCr9cdi3yJr7qN0bcIOLBD-g,72,8,16,0.1111111111111111
1312,UC-4u5SR4GRL-8BkTxPXZ04g,20,20,3,1.0
1313,UC90mP_TeDLziENuYCMxIfpw,59,130,12,2.2033898305084745
1314,UCftjwa5w8mGK3DXbvdcYWcw,75,70,14,0.9333333333333333
1315,UChiWt-Y_fW2k0hVfgIFbe3Q,157,246,73,1.5668789808917198
1316,UCqWrfB18eAwY0UoQrCHLd5w,228,21,35,0.09210526315789473
1317,UCLIWizJjcThZIIMZjVQldig,18,23,14,1.2777777777777777
1318,UC1yLBhh8eDSPm-_Hgz8AvNA,528,1207,130,2.2859848484848486
1319,UCtjc5x0RIiTsdYS4IFMjCGQ,36,164,9,4.555555555555555
1320,UC6hR6KtxdA_6H_cE1HQlIbg,259,2073,48,8.003861003861005
1321,UC9QZlmPrDQMk_XU1ptzyctQ,26,14,11,0.5384615384615384
1322,UChZR7a2ZeNngLp8GnYMWRtw,38,65,12,1.7105263157894737
1323,UC_3XOdJHZjCO6dryFf2JaOw,19,0,7,0.0
1324,UCh8iNO5BcoyEPtKFNNotH5g,37,19,10,0.5135135135135135
1325,UCL_ZV_Qg9WIdZ2DAjaaN9Rw,95,110,13,1.1578947368421053
1326,UCpo07GQbWMybKrjgoVf4ETg,371,13021,47,35.097035040431265
1327,UC_4hZxxgIzCvzdreCffmY5Q,50,57,3,1.14
1328,UCb5yz3kBRZ5_5_ZgJ4GTjGw,51,88,21,1.7254901960784315
1329,UCbn8O8WwMeoZsPRxgumfvAQ,171,790,11,4.619883040935672
1330,UC3fXXuC9sR7jNynrPUFFnAA,319,209,84,0.6551724137931034
1331,UCPc4qwIJsi4KPJCtjxdogiQ,179,1423,65,7.949720670391062
1332,UCfPBd9Mx04TPejDK7CuWfWw,20,13,2,0.65
1333,UC8EzKGkEiusTm7g0mTfkWkg,1824,7599,725,4.166118421052632
1334,UC5eOLQO5VUEFJukNg9cl5jg,62,147,6,2.370967741935484
1335,UC3TR6S1FgdXmtbBPMvAabYg,18,0,4,0.0
1336,UC70Lug8ipeFfgTFcfwrhKAw,22,3,5,0.13636363636363635
1337,UCNjmAeesna4jQHsNGRQBnIQ,21,14,1,0.6666666666666666
1338,UCCUyfAgbTAsph3ZGhNSi70Q,50,138,12,2.76
1339,UCvGQ0lxN0jn4Ia5l9FxnWUQ,262,1016,42,3.877862595419847
1340,UCRKzxHM0g14YbDp52WoRLag,856,82,332,0.09579439252336448
1341,UCMaO2u7ZMuyPVzj5h_CDl3A,535,692,124,1.2934579439252336
1342,UCTyqSSRd75F2suFFgLtFuMg,15,0,3,0.0
1343,UCJFvRTZXPFPFjq7GfunavSA,100,169,4,1.69
1344,UCTVr0Z6fYL96lq_Am5Cw7Gw,16,0,2,0.0
1345,UC8nj6IarU-AWJPoIB8xodIw,34,22,1,0.6470588235294118
1346,UCWMjHUlcQpDPCDmwQOncoPg,24,62,2,2.5833333333333335
1347,UCNB2iysNL9II56Qp1tOJJSg,18,8,3,0.4444444444444444
1348,UC70XyVJcuRZlEMr7aQt_uKg,95,45,25,0.47368421052631576
1349,UC7vmFbbb2QxPIUhNQrQ3oEA,51,39,10,0.7647058823529411
1350,UCzepcutq_PDtzpqJkfaueYw,51,133,13,2.607843137254902
1351,UCZb2wDd2b13luZN03HAKuHQ,35,6,10,0.17142857142857143
1352,UCX1Kp3GGz2DiHn8onft60Tg,16,0,2,0.0
1353,UCu4nws5yvkvbcFUjDEh3cgw,554,4730,116,8.537906137184116
1354,UCy6Iwt8U-1-y5_n9I0Sbe6g,151,550,28,3.642384105960265
1355,UCambSqBqepN-17OxttWxdbQ,22,11,8,0.5
1356,UCAlRNr8vqShPNS4OlTyG-Jg,26,0,0,0.0
